Progress;Duration (in seconds);Finished;ResponseId;Q11;age;gender;country;education;dutch;english;mandarin;hindi;nat_habits;enjoy_E_low;valence_E_low_1;familiar_E_low;enjoy_H_mid;valence_H_mid_1;familiar_H_mid;enjoy_D_low;valence_D_low_1;familiar_D_low;enjoy_H_high;valence_H_high_1;familiar_H_high;enjoy_M_high;valence_M_high_1;familiar_M_high;enjoy_E_mid;valence_E_mid_1;familiar_E_mid;enjoy_D_mid;valence_D_mid_1;familiar_D_mid;enjoy_H_low;valence_H_low_1;familiar_H_low;enjoy_M_low;valence_M_low_1;familiar_M_low;enjoy_E_high;valence_E_high_1;familiar_E_high;enjoy_M_mid;valence_M_mid_1;familiar_M_mid;enjoy_D_high;valence_D_high_1;familiar_D_high
100;539;1;R_DI6xdl1ciiFWcOB;1;22;2;185;3;1;6;1;1;2;1;3;1;4;5;1;1;4;1;4;7;1;3;3;1;1;2;1;2;4;1;4;5;1;2;3;1;1;3;1;4;3;1;1;7;1
100;310;1;R_1CHdGpnsMM71qDX;1;25;2;3;4;1;6;1;1;3;4;3;3;3;5;1;3;2;1;3;6;1;2;4;1;3;2;1;3;4;4;2;4;1;3;1;1;3;4;1;3;2;2;3;7;2
100;272;1;R_24oZNAopyt52Lcg;1;23;3;122;2;6;4;1;1;4;5;4;5;1;5;1;1;6;1;2;4;1;4;5;1;3;3;4;5;2;5;1;4;1;1;3;1;4;6;4;2;3;1;2;7;4
100;1033;1;R_1rHbEwMKDjaeSUX;1;19;1;122;2;6;5;1;1;5;3;3;2;1;5;1;1;3;2;1;6;1;2;5;1;3;4;1;1;4;1;1;4;1;1;5;1;5;7;5;1;5;1;1;7;2
100;487;1;R_1f8yxEjqXXGpsg6;1;19;2;122;2;6;2;1;1;5;2;1;1;2;5;1;4;1;2;2;7;1;2;3;1;4;2;1;3;1;1;1;7;1;2;2;1;1;7;1;2;5;1;1;7;2
100;766;1;R_3Kro5IogZMpfP92;1;21;1;122;2;6;3;1;1;4;1;2;1;2;6;1;2;3;1;2;7;1;1;5;1;1;3;1;4;4;3;2;5;1;1;4;1;2;5;2;1;4;1;2;6;2
100;457;1;R_YX0Y3XxSkQPIjAt;1;23;1;122;4;6;3;1;1;4;1;3;1;1;4;1;1;3;1;2;5;1;1;4;1;1;3;1;2;2;1;1;4;1;1;3;1;2;5;2;1;2;1;2;5;3
100;921;1;R_TpiIKc9EAFL2w0N;1;19;2;122;2;6;5;1;1;2;5;4;1;2;6;1;3;2;1;2;4;1;4;6;1;5;3;1;3;5;1;2;5;1;4;2;1;5;7;1;4;6;1;1;7;1
100;2367;1;R_2rlkL8bafVzDLHy;1;18;2;122;2;6;4;1;1;4;4;3;4;1;3;1;1;3;1;1;5;1;4;6;1;4;3;1;3;3;3;1;4;1;1;3;1;3;6;1;3;4;1;1;6;1
100;507;1;R_D2yrJMDNPOC7eNP;1;60;1;122;3;6;3;1;1;4;2;4;1;1;5;1;3;5;3;1;6;1;2;3;1;3;4;2;2;5;1;1;5;1;1;3;1;5;7;5;3;4;1;3;7;3
