age;gender;region;education;dutch;english;mandarin;hindi;enjoy_E_low;valence_E_low_1;familiar_E_low;enjoy_H_mid;valence_H_mid_1;familiar_H_mid;enjoy_D_low;valence_D_low_1;familiar_D_low;enjoy_H_high;valence_H_high_1;familiar_H_high;enjoy_M_high;valence_M_high_1;familiar_M_high;enjoy_E_mid;valence_E_mid_1;familiar_E_mid;enjoy_D_mid;valence_D_mid_1;familiar_D_mid;enjoy_H_low;valence_H_low_1;familiar_H_low;enjoy_M_low;valence_M_low_1;familiar_M_low;enjoy_E_high;valence_E_high_1;familiar_E_high;enjoy_M_mid;valence_M_mid_1;familiar_M_mid;enjoy_D_high;valence_D_high_1;familiar_D_high
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2;United Kingdom of Great Britain and Northern Ireland;3;1;6;1;1;1;3;1;4;5;1;1;4;1;4;7;1;3;3;1;1;2;1;2;4;1;4;5;1;2;3;1;1;3;1;4;3;1;1;7;1
25;2;Algeria;4;1;6;1;1;4;3;3;3;5;1;3;2;1;3;6;1;2;4;1;3;2;1;3;4;4;2;4;1;3;1;1;3;4;1;3;2;2;3;7;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2;Netherlands;2;6;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;3;Netherlands;2;6;4;1;1;5;4;5;1;5;1;1;6;1;2;4;1;4;5;1;3;3;4;5;2;5;1;4;1;1;3;1;4;6;4;2;3;1;2;7;4
19;1;Netherlands;2;6;5;1;1;3;3;2;1;5;1;1;3;2;1;6;1;2;5;1;3;4;1;1;4;1;1;4;1;1;5;1;5;7;5;1;5;1;1;7;2
19;2;Netherlands;2;6;2;1;1;2;1;1;2;5;1;4;1;2;2;7;1;2;3;1;4;2;1;3;1;1;1;7;1;2;2;1;1;7;1;2;5;1;1;7;2
21;1;Netherlands;2;6;3;1;1;1;2;1;2;6;1;2;3;1;2;7;1;1;5;1;1;3;1;4;4;3;2;5;1;1;4;1;2;5;2;1;4;1;2;6;2
23;1;Netherlands;4;6;3;1;1;1;3;1;1;4;1;1;3;1;2;5;1;1;4;1;1;3;1;2;2;1;1;4;1;1;3;1;2;5;2;1;2;1;2;5;3
19;2;Netherlands;2;6;5;1;1;5;4;1;2;6;1;3;2;1;2;4;1;4;6;1;5;3;1;3;5;1;2;5;1;4;2;1;5;7;1;4;6;1;1;7;1
18;2;Netherlands;2;6;4;1;1;4;3;4;1;3;1;1;3;1;1;5;1;4;6;1;4;3;1;3;3;3;1;4;1;1;3;1;3;6;1;3;4;1;1;6;1
60;1;Netherlands;3;6;3;1;1;2;4;1;1;5;1;3;5;3;1;6;1;2;3;1;3;4;2;2;5;1;1;5;1;1;3;1;5;7;5;3;4;1;3;7;3
57;2;Netherlands;6;6;4;1;1;2;3;1;1;5;1;1;3;1;1;5;1;2;4;1;3;4;1;3;4;1;3;4;1;3;4;1;4;6;4;2;4;1;3;6;3
